epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2348,1.83591,3.92255,1.80479,0.08861,0.09724,0.05534,0.01728,2.13212,3.72814,2.32682,0.000658009,0.000658009,0.000658009
2,20.5595,1.83959,3.17027,1.81311,0.1408,0.3,0.11031,0.0376,2.31937,3.59477,2.85786,0.00130282,0.00130282,0.00130282
3,31.2853,1.96678,2.78168,1.97043,0.22611,0.1,0.09502,0.03719,2.98589,3.48184,3.38711,0.00192563,0.00192563,0.00192563
4,41.6297,1.94167,2.47541,1.93326,0.36378,0.10588,0.07393,0.02961,2.68899,3.37343,3.36278,0.001901,0.001901,0.001901
5,51.523,1.9024,2.26004,1.89543,0.48638,0.14118,0.15383,0.0688,2.5435,2.96398,3.22757,0.001868,0.001868,0.001868
6,61.3945,1.8708,2.09992,1.83719,0.61656,0.28235,0.3262,0.15425,2.15801,2.70688,2.36485,0.001835,0.001835,0.001835
7,71.7091,1.8382,1.96553,1.84093,0.40738,0.28235,0.28756,0.11888,2.26445,2.61049,2.50302,0.001802,0.001802,0.001802
8,81.2287,1.75783,1.86769,1.76562,0.57654,0.34439,0.368,0.1598,2.18358,2.4976,2.29155,0.001769,0.001769,0.001769
9,90.5716,1.76692,1.79497,1.82545,0.48687,0.40745,0.37947,0.16842,2.0914,2.55754,2.33439,0.001736,0.001736,0.001736
10,99.9181,1.71973,1.66637,1.72883,0.32893,0.28824,0.26884,0.11203,2.20915,2.71776,2.41684,0.001703,0.001703,0.001703
11,109.257,1.74589,1.60652,1.71787,0.59574,0.32941,0.40628,0.16723,2.22006,2.24433,2.33232,0.00167,0.00167,0.00167
12,118.611,1.70722,1.57602,1.69626,0.64126,0.35882,0.3962,0.18339,2.1575,2.36146,2.16892,0.001637,0.001637,0.001637
13,127.946,1.67982,1.58098,1.70476,0.43673,0.35294,0.39162,0.18505,2.13085,2.17453,2.3108,0.001604,0.001604,0.001604
14,137.289,1.66093,1.45536,1.69087,0.68259,0.34706,0.40729,0.18722,2.05293,2.55288,2.24994,0.001571,0.001571,0.001571
15,146.672,1.61272,1.45462,1.65369,0.56546,0.3,0.34806,0.14432,2.31005,2.24764,2.41606,0.001538,0.001538,0.001538
16,155.996,1.64562,1.42116,1.69391,0.7005,0.24706,0.3287,0.16414,2.09666,2.91571,2.21401,0.001505,0.001505,0.001505
17,165.399,1.60762,1.35189,1.66658,0.88251,0.30932,0.42293,0.1991,2.15706,2.1217,2.28151,0.001472,0.001472,0.001472
18,174.742,1.56779,1.29444,1.64236,0.60624,0.28235,0.35615,0.15399,2.26965,2.57248,2.59573,0.001439,0.001439,0.001439
19,184.059,1.60637,1.31892,1.6673,0.69582,0.38824,0.43736,0.20656,2.07843,2.22252,2.28205,0.001406,0.001406,0.001406
20,193.427,1.57792,1.28981,1.64128,0.73577,0.42353,0.49781,0.21972,2.06287,2.192,2.22629,0.001373,0.001373,0.001373
21,202.763,1.58617,1.28805,1.6513,0.68278,0.25294,0.33493,0.15728,2.1122,2.65398,2.32312,0.00134,0.00134,0.00134
22,212.05,1.58312,1.23567,1.62801,0.56965,0.41269,0.43519,0.19887,2.25602,2.16936,2.44591,0.001307,0.001307,0.001307
23,221.331,1.56668,1.27533,1.61863,0.86299,0.34118,0.44191,0.20867,2.2006,2.24158,2.33004,0.001274,0.001274,0.001274
24,230.659,1.54924,1.24369,1.5957,0.64298,0.41765,0.47028,0.20035,2.23894,2.13418,2.40482,0.001241,0.001241,0.001241
25,240.02,1.51428,1.15567,1.58107,0.72435,0.41736,0.46504,0.22116,2.23523,2.07829,2.38728,0.001208,0.001208,0.001208
26,249.374,1.56488,1.20516,1.61849,0.50159,0.34118,0.37424,0.17117,2.35744,2.63016,2.54771,0.001175,0.001175,0.001175
27,258.689,1.52188,1.17169,1.6004,0.76838,0.37076,0.4244,0.20159,2.24697,2.61325,2.52869,0.001142,0.001142,0.001142
28,268.021,1.51167,1.14173,1.59151,0.58372,0.36471,0.41435,0.18403,2.3025,2.43755,2.41178,0.001109,0.001109,0.001109
29,277.315,1.46228,1.07183,1.53929,0.69827,0.4084,0.49327,0.21926,2.07388,2.28778,2.17872,0.001076,0.001076,0.001076
30,286.549,1.43841,1.03216,1.50576,0.5784,0.34701,0.36507,0.14243,2.46225,2.69177,2.69233,0.001043,0.001043,0.001043
31,295.742,1.46317,1.06071,1.54325,0.56078,0.25294,0.32632,0.14681,2.17761,3.22146,2.48884,0.00101,0.00101,0.00101
32,305.004,1.44127,1.00885,1.54131,0.55705,0.4,0.46518,0.20238,2.20441,2.0032,2.3449,0.000977,0.000977,0.000977
33,314.329,1.45211,1.06203,1.53795,0.62084,0.44307,0.48338,0.22463,2.05274,2.16766,2.19298,0.000944,0.000944,0.000944
34,323.6,1.42066,0.97253,1.52561,0.7303,0.36637,0.46288,0.1951,2.18436,2.26133,2.38302,0.000911,0.000911,0.000911
35,332.864,1.43891,1.01474,1.52913,0.69192,0.44118,0.46647,0.20169,2.07606,2.25209,2.28424,0.000878,0.000878,0.000878
36,342.154,1.40713,0.96991,1.492,0.48805,0.48235,0.46845,0.22559,2.19409,2.27049,2.39667,0.000845,0.000845,0.000845
37,351.667,1.40344,0.96826,1.5216,0.60575,0.48824,0.5079,0.23055,2.07799,2.24834,2.27164,0.000812,0.000812,0.000812
38,362.484,1.36329,0.97573,1.47347,0.85046,0.43529,0.51923,0.22991,2.10355,2.23923,2.29475,0.000779,0.000779,0.000779
39,371.975,1.40761,0.94163,1.48553,0.72602,0.42941,0.47421,0.20782,2.18894,2.07677,2.4102,0.000746,0.000746,0.000746
40,382.066,1.38019,0.92672,1.47527,0.59449,0.43529,0.43826,0.17858,2.19483,2.38671,2.4508,0.000713,0.000713,0.000713
41,391.724,1.34546,0.93454,1.46229,0.6634,0.44118,0.47662,0.19571,2.24308,2.10252,2.49704,0.00068,0.00068,0.00068
42,400.981,1.38476,0.91854,1.47935,0.6336,0.48826,0.53009,0.2235,2.10041,1.97918,2.36608,0.000647,0.000647,0.000647
43,410.241,1.34449,0.90005,1.46946,0.55713,0.41176,0.41857,0.18961,2.22976,2.40907,2.50921,0.000614,0.000614,0.000614
44,419.527,1.33034,0.89491,1.4656,0.78923,0.46471,0.56082,0.25546,2.09342,1.95793,2.35466,0.000581,0.000581,0.000581
45,428.816,1.3214,0.84066,1.43606,0.9473,0.40588,0.52663,0.23116,2.16026,2.27429,2.43993,0.000548,0.000548,0.000548
46,437.947,1.32296,0.84132,1.43421,0.75032,0.43529,0.51202,0.22205,2.17591,2.27671,2.46712,0.000515,0.000515,0.000515
47,447.098,1.2665,0.83589,1.40354,0.70955,0.44549,0.49675,0.22868,2.19035,2.13604,2.52326,0.000482,0.000482,0.000482
48,456.32,1.28831,0.80263,1.43692,0.80643,0.44118,0.49891,0.2264,2.14558,2.27411,2.41951,0.000449,0.000449,0.000449
49,465.524,1.30167,0.8146,1.42548,0.80495,0.43698,0.53085,0.22792,2.18098,2.21967,2.45685,0.000416,0.000416,0.000416
50,474.705,1.27891,0.83795,1.4002,0.78076,0.40588,0.47657,0.21259,2.24283,2.31615,2.54358,0.000383,0.000383,0.000383
51,495.574,1.25574,0.66471,1.4288,0.82709,0.45294,0.53438,0.23289,2.24486,1.99776,2.53691,0.00035,0.00035,0.00035
52,504.68,1.22855,0.64258,1.42494,0.68355,0.45882,0.47035,0.21333,2.25785,2.00095,2.54329,0.000317,0.000317,0.000317
53,513.845,1.21274,0.63618,1.39831,0.63929,0.46471,0.4827,0.21761,2.31612,2.11041,2.59871,0.000284,0.000284,0.000284
54,522.978,1.17317,0.60904,1.3692,0.72392,0.46471,0.5044,0.22525,2.28771,2.07616,2.57657,0.000251,0.000251,0.000251
55,532.094,1.16978,0.59365,1.38793,0.65131,0.49443,0.48684,0.2331,2.2303,2.09368,2.52338,0.000218,0.000218,0.000218
56,541.195,1.15406,0.57541,1.3592,0.64566,0.48824,0.48592,0.21296,2.2445,2.14428,2.50881,0.000185,0.000185,0.000185
57,550.303,1.15815,0.5715,1.34999,0.6976,0.50209,0.5249,0.2433,2.23063,2.05637,2.51587,0.000152,0.000152,0.000152
58,559.367,1.14969,0.58349,1.34865,0.73301,0.45882,0.51021,0.22917,2.25259,2.10014,2.57212,0.000119,0.000119,0.000119
59,568.447,1.13024,0.57656,1.33427,0.78089,0.48235,0.52138,0.23441,2.24058,2.10532,2.5823,8.6e-05,8.6e-05,8.6e-05
